GCAM_region_ID,region,grouped_region
1,USA,ROW
2,Africa_Eastern,ROW
3,Africa_Northern,ROW
4,Africa_Southern,ROW
5,Africa_Western,ROW
6,Australia_NZ,ROW
7,Brazil,ROW
8,Canada,ROW
9,Central America and Caribbean,ROW
10,Central Asia,ROW
11,China,China
12,EU-12,EU
13,EU-15,EU
14,Europe_Eastern,ROW
15,Europe_Non_EU,ROW
16,European Free Trade Association,ROW
17,India,ROW
18,Indonesia,ROW
19,Japan,ROW
20,Mexico,ROW
21,Middle East,ROW
22,Pakistan,ROW
23,Russia,ROW
24,South Africa,ROW
25,South America_Northern,ROW
26,South America_Southern,ROW
27,South Asia,ROW
28,South Korea,ROW
29,Southeast Asia,ROW
30,Taiwan,ROW
31,Argentina,ROW
32,Colombia,ROW
